,T1,RH_1
0,19.89,47.59666666666671
1,19.89,46.69333333333329
2,19.89,46.3
3,19.89,46.0666666666667
4,19.89,46.33333333333329
5,19.89,46.0266666666667
6,19.89,45.7666666666667
7,19.8566666666667,45.56
8,19.79,45.5975
9,19.8566666666667,46.09
10,19.9266666666667,45.863333333333294
11,20.06666666666669,46.3966666666667
12,20.1333333333333,48.0
13,20.26,52.7266666666667
14,20.4266666666667,55.893333333333295
15,20.56666666666669,53.893333333333295
16,20.73,52.66
17,20.8566666666667,53.66
18,20.89,51.19333333333329
19,20.89,49.8
20,20.89,48.433333333333294
21,20.963333333333296,47.6333333333333
22,21.033333333333296,47.0633333333333
23,21.1,46.59666666666671
24,21.1333333333333,46.06
25,21.2,45.8
26,21.29,45.9
27,21.3566666666667,45.8266666666667
28,21.39,45.69
29,21.5,45.33333333333329
30,21.5,45.1266666666667
31,21.533333333333296,44.9666666666667
32,21.6,44.7666666666667
33,21.6,44.56
34,21.6,44.36
35,21.6,44.2
36,21.6,44.2
37,21.6,44.2
38,21.6,44.2
39,21.5,44.23
40,21.5,44.363333333333294
41,21.39,44.433333333333294
42,21.39,44.56
43,21.29,44.8266666666667
44,21.29,44.9666666666667
45,21.26,45.09
46,21.2,45.09
47,21.1666666666667,45.23
48,21.075,45.3725
49,21.0,45.4
50,21.0,45.59
51,20.9266666666667,45.59
52,20.89,45.66666666666671
53,20.89,46.06
54,20.79,46.2
55,20.79,46.2
56,20.7,46.26
57,20.7,46.2
58,20.6,46.2
59,20.6,46.1266666666667
60,20.56666666666669,46.0666666666667
61,20.5,46.2
62,20.5,46.29
63,20.4266666666667,46.23
64,20.39,46.29
65,20.39,46.363333333333294
66,20.29,46.5
67,20.29,46.545
68,20.23,46.5
69,20.2,46.433333333333294
70,20.2,46.56
71,20.1666666666667,46.363333333333294
72,20.1,46.363333333333294
73,20.1,46.5
74,20.033333333333296,46.36
75,20.0,46.29
76,20.0,46.29
77,20.0,46.23
78,19.9266666666667,46.23
79,19.89,46.23
80,19.89,46.43
81,19.89,46.6266666666667
82,19.89,46.7
83,19.89,46.863333333333294
84,19.82333333333329,46.863333333333294
85,19.8566666666667,46.93
86,19.79,46.79
87,19.79,46.895
88,19.79,47.4266666666667
89,19.79,48.3666666666667
90,19.79,48.66666666666671
91,19.79,48.533333333333296
92,19.89,50.0
93,19.89,48.7333333333333
94,19.89,48.0266666666667
95,19.89,47.6333333333333
96,19.8566666666667,47.0633333333333
97,19.79,46.6566666666667
98,19.79,46.33333333333329
99,19.79,46.0666666666667
100,19.76,45.863333333333294
101,19.7,45.79
102,19.7,45.6633333333333
103,19.7,45.59
104,19.73,47.793333333333294
105,19.79,48.793333333333294
106,19.89,47.94
107,19.89,47.16
108,19.89,46.7666666666667
109,20.0,46.2966666666667
110,20.0,45.963333333333296
111,20.0,46.223333333333294
112,20.0,45.963333333333296
113,20.0,45.723333333333294
114,20.0,45.6633333333333
115,20.033333333333296,45.5
116,20.1,45.69333333333329
117,20.1,45.4
118,20.1,45.3266666666667
119,20.1,45.3266666666667
120,20.1666666666667,46.9933333333333
121,20.1,46.43
122,20.1,46.03
123,20.06666666666669,45.363333333333294
124,20.0,44.963333333333296
125,20.0,44.76
126,20.0,44.595
127,20.0,44.433333333333294
128,20.0,44.26
129,20.0,44.2
130,20.0,44.06
131,20.0,44.06
132,20.0,44.09
133,20.0,44.03
134,19.963333333333296,43.9
135,19.963333333333296,43.9
136,20.0,43.863333333333294
137,20.06666666666669,43.863333333333294
138,20.1,43.79
139,20.1,43.73
140,20.1,43.56
141,20.1,43.433333333333294
142,20.1,43.1633333333333
143,20.1,43.03
144,20.06666666666669,42.83333333333329
145,20.0,42.6725
146,20.0,42.53
147,20.033333333333296,43.4966666666667
148,20.033333333333296,42.963333333333296
149,20.0,43.16
150,20.0,43.9
151,20.0,43.7
152,20.0,43.76
153,20.033333333333296,44.0
154,20.1,44.26
155,20.1,44.2
156,20.1,44.1266666666667
157,20.1,44.06
158,20.1,44.0
159,20.1,43.9
160,20.1,43.8266666666667
161,20.033333333333296,43.73
162,20.1,43.73
163,20.06666666666669,43.49
164,20.0,43.29
165,20.0,43.145
166,20.0,43.06
167,19.9266666666667,43.0
168,19.89,42.863333333333294
169,19.89,42.79
170,19.89,42.7
171,19.82333333333329,42.6266666666667
172,19.79,42.59
173,19.79,42.723333333333294
174,19.76,42.76
175,19.7,42.7
176,19.7,42.7
177,19.6333333333333,42.6266666666667
178,19.6666666666667,43.0
179,19.6,43.0
180,19.6,43.0
181,19.533333333333296,43.0
182,19.5,43.09
183,19.5,43.09
184,19.5,43.145
185,19.5,43.2
186,19.4266666666667,43.2
187,19.39,43.2
188,19.39,43.26
189,19.39,43.29
190,19.39,43.363333333333294
191,19.39,43.4
192,19.32333333333329,43.4666666666667
193,19.29,43.5
194,19.29,43.56
195,19.29,43.59
196,19.29,43.59
197,19.29,43.7
198,19.29,43.76
199,19.2,43.7
