,T1,RH_1,T2,RH_2
0,19.89,47.59666666666671,19.2,44.79
1,19.89,46.69333333333329,19.2,44.7225
2,19.89,46.3,19.2,44.6266666666667
3,19.89,46.0666666666667,19.2,44.59
4,19.89,46.33333333333329,19.2,44.53
5,19.89,46.0266666666667,19.2,44.5
6,19.89,45.7666666666667,19.2,44.5
7,19.8566666666667,45.56,19.2,44.5
8,19.79,45.5975,19.2,44.433333333333294
9,19.8566666666667,46.09,19.23,44.4
10,19.9266666666667,45.863333333333294,19.3566666666667,44.4
11,20.06666666666669,46.3966666666667,19.4266666666667,44.4
12,20.1333333333333,48.0,19.56666666666669,44.4
13,20.26,52.7266666666667,19.73,45.1
14,20.4266666666667,55.893333333333295,19.8566666666667,45.83333333333329
15,20.56666666666669,53.893333333333295,20.033333333333296,46.7566666666667
16,20.73,52.66,20.1666666666667,47.223333333333294
17,20.8566666666667,53.66,20.2,47.05666666666671
18,20.89,51.19333333333329,20.2,46.33
19,20.89,49.8,20.2,46.0266666666667
20,20.89,48.433333333333294,20.2,45.7225
21,20.963333333333296,47.6333333333333,20.26,45.53
22,21.033333333333296,47.0633333333333,20.29,45.223333333333294
23,21.1,46.59666666666671,20.3566666666667,44.963333333333296
24,21.1333333333333,46.06,20.4266666666667,44.76
25,21.2,45.8,20.5,44.76
26,21.29,45.9,20.533333333333296,45.09
27,21.3566666666667,45.8266666666667,20.6666666666667,45.1633333333333
28,21.39,45.69,20.7,45.06
29,21.5,45.33333333333329,20.7,44.933333333333294
30,21.5,45.1266666666667,20.79,44.6333333333333
31,21.533333333333296,44.9666666666667,20.79,44.36
32,21.6,44.7666666666667,20.89,44.223333333333294
33,21.6,44.56,20.963333333333296,43.963333333333296
34,21.6,44.36,21.0,43.83333333333329
35,21.6,44.2,21.0,43.7
36,21.6,44.2,21.0,43.59
37,21.6,44.2,21.0,43.59
38,21.6,44.2,21.0,43.7
39,21.5,44.23,20.9266666666667,43.76
40,21.5,44.363333333333294,20.89,43.845
41,21.39,44.433333333333294,20.79,43.79
42,21.39,44.56,20.79,43.863333333333294
43,21.29,44.8266666666667,20.7,44.0
44,21.29,44.9666666666667,20.6333333333333,44.0
45,21.26,45.09,20.6,44.03
46,21.2,45.09,20.6,44.09
47,21.1666666666667,45.23,20.5,44.1266666666667
48,21.075,45.3725,20.5,44.2
49,21.0,45.4,20.39,44.2
50,21.0,45.59,20.39,44.26
51,20.9266666666667,45.59,20.29,44.29
52,20.89,45.66666666666671,20.23,44.29
53,20.89,46.06,20.2,44.4
54,20.79,46.2,20.2,44.4666666666667
55,20.79,46.2,20.1,44.53
56,20.7,46.26,20.1,44.59
57,20.7,46.2,20.0,44.433333333333294
58,20.6,46.2,20.0,44.5
59,20.6,46.1266666666667,20.0,44.5
60,20.56666666666669,46.0666666666667,19.89,44.59
61,20.5,46.2,19.82333333333329,44.53
62,20.5,46.29,19.79,44.53
63,20.4266666666667,46.23,19.79,44.53
64,20.39,46.29,19.76,44.59
65,20.39,46.363333333333294,19.7,44.59
66,20.29,46.5,19.7,44.7
67,20.29,46.545,19.6333333333333,44.6266666666667
68,20.23,46.5,19.6,44.59
69,20.2,46.433333333333294,19.6,44.59
70,20.2,46.56,19.56666666666669,44.7
71,20.1666666666667,46.363333333333294,19.5,44.7
72,20.1,46.363333333333294,19.5,44.79
73,20.1,46.5,19.4266666666667,44.73
74,20.033333333333296,46.36,19.39,44.73
75,20.0,46.29,19.39,44.79
76,20.0,46.29,19.39,44.79
77,20.0,46.23,19.39,44.79
78,19.9266666666667,46.23,19.29,44.9
79,19.89,46.23,19.29,44.925
80,19.89,46.43,19.29,45.0
81,19.89,46.6266666666667,19.29,45.1266666666667
82,19.89,46.7,19.218,45.2
83,19.89,46.863333333333294,19.2,45.245
84,19.82333333333329,46.863333333333294,19.2,45.363333333333294
85,19.8566666666667,46.93,19.2,45.4
86,19.79,46.79,19.2,45.3266666666667
87,19.79,46.895,19.175,45.195
88,19.79,47.4266666666667,19.1,45.03
89,19.79,48.3666666666667,19.1,45.0
90,19.79,48.66666666666671,19.1,45.0
91,19.79,48.533333333333296,19.06666666666669,45.06
92,19.89,50.0,19.0222222222222,45.0444444444444
93,19.89,48.7333333333333,19.1,45.2
94,19.89,48.0266666666667,19.033333333333296,45.1266666666667
95,19.89,47.6333333333333,19.0,45.09
96,19.8566666666667,47.0633333333333,19.0,45.03
97,19.79,46.6566666666667,19.0,44.9666666666667
98,19.79,46.33333333333329,19.0,44.8266666666667
99,19.79,46.0666666666667,19.0,44.645
100,19.76,45.863333333333294,18.963333333333296,44.56
101,19.7,45.79,18.963333333333296,44.433333333333294
102,19.7,45.6633333333333,18.89,44.29
103,19.7,45.59,18.89,44.23
104,19.73,47.793333333333294,18.9266666666667,44.23
105,19.79,48.793333333333294,19.0,44.363333333333294
106,19.89,47.94,19.033333333333296,44.5666666666667
107,19.89,47.16,19.033333333333296,44.5666666666667
108,19.89,46.7666666666667,19.033333333333296,44.5
109,20.0,46.2966666666667,19.1,44.5
110,20.0,45.963333333333296,19.1,44.4666666666667
111,20.0,46.223333333333294,19.1,44.4
112,20.0,45.963333333333296,19.1,44.29
113,20.0,45.723333333333294,19.15,44.245
114,20.0,45.6633333333333,19.2,44.2
115,20.033333333333296,45.5,19.2,44.1266666666667
116,20.1,45.69333333333329,19.2,43.9
117,20.1,45.4,19.2,43.9
118,20.1,45.3266666666667,19.2,43.856
119,20.1,45.3266666666667,19.2,43.7
120,20.1666666666667,46.9933333333333,19.2,43.76
121,20.1,46.43,19.1,43.8175
122,20.1,46.03,19.1,43.838125
123,20.06666666666669,45.363333333333294,19.1,43.745
124,20.0,44.963333333333296,19.1,43.5955555555556
125,20.0,44.76,19.1,43.488888888888894
126,20.0,44.595,19.1,43.425
127,20.0,44.433333333333294,19.1,43.334
128,20.0,44.26,19.1,43.29
129,20.0,44.2,19.1,43.29
130,20.0,44.06,19.033333333333296,43.23
131,20.0,44.06,19.0,43.2
132,20.0,44.09,19.0,43.1266666666667
133,20.0,44.03,19.0,43.09
134,19.963333333333296,43.9,18.9266666666667,43.09
135,19.963333333333296,43.9,19.033333333333296,43.06
136,20.0,43.863333333333294,19.1,43.0
137,20.06666666666669,43.863333333333294,19.1333333333333,42.863333333333294
138,20.1,43.79,19.2,42.715
139,20.1,43.73,19.1363636363636,42.65
140,20.1,43.56,19.13,42.59
141,20.1,43.433333333333294,19.1,42.59
142,20.1,43.1633333333333,19.0375,42.53375
143,20.1,43.03,19.00769230769229,42.43
144,20.06666666666669,42.83333333333329,19.0,42.4181818181818
145,20.0,42.6725,19.0,42.433333333333294
146,20.0,42.53,18.99,42.4718181818182
147,20.033333333333296,43.4966666666667,18.9022222222222,42.58
148,20.033333333333296,42.963333333333296,18.89,42.56
149,20.0,43.16,18.89,42.7966666666667
150,20.0,43.9,18.8566666666667,43.4
151,20.0,43.7,18.8566666666667,43.4666666666667
152,20.0,43.76,18.9266666666667,43.363333333333294
